ID;MCC;DESCRIPTION;FACTOR;CATEGORY_ID
213CBF07-4E97-4AC1-B949-D4E9907D6FD7;742;Veterinary Services;0.108192;19ADC6EE-C548-4BCD-8728-E4175F4B04F9
F84C35BE-D438-4065-B18E-DBA8692D9A70;2741;Miscellaneous Publishing and Printing;0.093318;F7308C10-C5C8-4468-BC0E-EFFE90334EFC
147DEE5E-D3EC-46F8-B6DE-159CB6D459CF;4111;Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.;0.52744;E302C064-0E36-4CD8-B76A-1E48D969E5E4
DA6D7576-142C-4004-8BA9-CEA864D8FDAC;4119;Ambulance Services;0.253575;E302C064-0E36-4CD8-B76A-1E48D969E5E4
F18F3E38-4671-4AAE-80E0-B65E587F7C20;4121;Taxicabs and Limousines;0.632928;E302C064-0E36-4CD8-B76A-1E48D969E5E4
56D79107-2A55-4040-A705-2F84C0794E40;4722;Travel Agencies and Tour Operations;0.075733;E302C064-0E36-4CD8-B76A-1E48D969E5E4
11FA862B-8C1F-4C00-A06E-43F046C8053F;4812;Telecommunications Equipment including telephone sales;0.360412;7065DEB3-804D-4E55-B3E8-E0BB45D70044
B591E05E-F634-46C8-B63A-4ECE09703B22;4829;Money Orders – Wire Transfer;0;7065DEB3-804D-4E55-B3E8-E0BB45D70044
D30124CE-4045-4EF8-B8F8-8B8DCE2CE710;4899;Cable and other pay television (previously Cable Services);0.208264;7065DEB3-804D-4E55-B3E8-E0BB45D70044
990C640D-BD86-49DE-81B2-371EB5E3BCCB;5045;Computers, Computer Peripheral Equipment, Software;0.249516;829C2951-26E3-4E68-A6BC-E85D369C9EFE
5CCD5765-3F64-42C2-9D88-552A70650E49;5085;Industrial Supplies, Not Elsewhere Classified;0.213003;829C2951-26E3-4E68-A6BC-E85D369C9EFE
8C4A1677-F71B-4F7C-8E79-BEADEE3A4D80;5122;Drugs, Drug Proprietors, and Druggist’s Sundries;0.307671;829C2951-26E3-4E68-A6BC-E85D369C9EFE
2631CC06-BA08-455C-A141-159345613BFD;5137;Men’s Women’s and Children’s Uniforms and Commercial Clothing;0.45982;829C2951-26E3-4E68-A6BC-E85D369C9EFE
B3AD93CC-CC21-49EF-9727-9CF8B2696D5A;5139;Commercial Footwear;0.551784;829C2951-26E3-4E68-A6BC-E85D369C9EFE
E25906CC-17F2-46CE-AA0A-664208D55941;5172;Petroleum and Petroleum Products;1.71417;829C2951-26E3-4E68-A6BC-E85D369C9EFE
0E9877FA-C2C9-4D6A-93A8-D0F3D88CFB5A;5231;Glass, Paint, and Wallpaper Stores;0.890784;829C2951-26E3-4E68-A6BC-E85D369C9EFE
66BDCACD-4946-440B-8230-391472347887;5251;Hardware Stores;0.936;829C2951-26E3-4E68-A6BC-E85D369C9EFE
A8328AEA-A331-41EE-B2A7-4B2737F33C88;5261;Nurseries – Lawn and Garden Supply Store;0.446292;829C2951-26E3-4E68-A6BC-E85D369C9EFE
7F146824-2900-4CE9-B38C-93AD44EDB346;5300;Wholesale Clubs;0.118335;829C2951-26E3-4E68-A6BC-E85D369C9EFE
0918D0AC-2656-4069-AD45-6EB52E2F54D2;5311;Department Stores;0.188658;829C2951-26E3-4E68-A6BC-E85D369C9EFE
49F4C309-C96F-4107-A1A3-F56AAE73D13D;5411;Grocery Stores, Supermarkets;0.216384;829C2951-26E3-4E68-A6BC-E85D369C9EFE
4CBFBAFB-D961-46D0-993A-3D194C2BF3F7;5422;Meat Provisioners – Freezer and Locker;0.568008;829C2951-26E3-4E68-A6BC-E85D369C9EFE
628BE403-2C12-4C64-AD10-AF7ACF840B3C;5441;Candy, Nut, and Confectionery Stores;0.324575;829C2951-26E3-4E68-A6BC-E85D369C9EFE
D21F440A-187F-49D0-9BDB-5BF8C0BFCB0A;5451;Dairy Products Stores;1.722966;829C2951-26E3-4E68-A6BC-E85D369C9EFE
27ABB2E3-45C3-4D68-9FA7-5F77CD63F4BC;5462;Bakeries;0.316464;829C2951-26E3-4E68-A6BC-E85D369C9EFE
A59151DD-76B9-4796-B676-643F0E5AF42D;5499;Misc. Food Stores – Convenience Stores and Specialty Markets;0.454405;829C2951-26E3-4E68-A6BC-E85D369C9EFE
CE4473BA-8534-40C7-80C2-1781C11774A9;5541;Service Stations ( with or without ancillary services);0.267774;829C2951-26E3-4E68-A6BC-E85D369C9EFE
D49BB743-A4B6-44AB-9A10-1A5F05EC4C12;5621;Women’s Ready-to-Wear Stores;0.551784;03F95015-309E-41E0-A539-A359DD26FFD2
B47D2979-8927-4DB2-892E-C11661DF8AA9;5631;Women’s Accessory and Specialty Shops;0.22991;03F95015-309E-41E0-A539-A359DD26FFD2
20B682B8-FC7C-40A9-8D71-563800BBC554;5651;Family Clothing Stores;0.597766;03F95015-309E-41E0-A539-A359DD26FFD2
37AF8C3C-3677-40A8-9FF0-34CFAA81CBED;5661;Shoe Stores;0.643748;03F95015-309E-41E0-A539-A359DD26FFD2
87C1B77F-C4D3-4A13-B786-804456950F6D;5691;Men’s and Women’s Clothing Stores;0.22991;03F95015-309E-41E0-A539-A359DD26FFD2
A861268A-BA8F-48D3-BAB6-1FB7F772D2CC;5719;Miscellaneous Home Furnishing Specialty Stores;0.389493;6F40292E-1842-4EDF-8977-1E1B49D71B74
8E6BEB1B-A2DC-4E6D-9AB9-A34296208AB4;5722;Household Appliance Stores;0.332688;6F40292E-1842-4EDF-8977-1E1B49D71B74
EA1E8566-5CA0-41DC-8241-19F9F95C75F5;5732;Electronic Sales;0.166344;6F40292E-1842-4EDF-8977-1E1B49D71B74
81C1E273-E3B0-4D26-B571-466ACCFD843A;5734;Computer Software Stores;0.097376;6F40292E-1842-4EDF-8977-1E1B49D71B74
6FB08223-0FBD-4AEF-91B7-0CE3919388C7;5811;Caterers;0.27048;6F40292E-1842-4EDF-8977-1E1B49D71B74
049AE16E-D1B1-45C2-A6C9-291C8028D107;5812;Eating places and Restaurants;0.13524;6F40292E-1842-4EDF-8977-1E1B49D71B74
DA01B0CB-6FE7-4527-927E-4D0B987CCC36;5813;Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques;0.650507;6F40292E-1842-4EDF-8977-1E1B49D71B74
59B34239-11C6-446D-AE1B-1E7FC29C209D;5814;Fast Food Restaurants;0.324576;6F40292E-1842-4EDF-8977-1E1B49D71B74
FFD40345-EAB2-435E-AD07-0203A440662E;5815;Digital Goods: Media, Books, Movies, Music;0.14876;6F40292E-1842-4EDF-8977-1E1B49D71B74
E4B3DC3F-0C3B-44FF-90EE-595E97148D43;5816;Digital Goods: Games;0.14876;6F40292E-1842-4EDF-8977-1E1B49D71B74
0EB4C735-B1A5-413B-848D-BAEBEB889AE7;5912;Drug Stores and Pharmacies;0.355005;6F40292E-1842-4EDF-8977-1E1B49D71B74
A758E342-2C60-42E7-BF7B-C18064283C29;5921;Package Stores – Beer, Wine, and Liquor;0.450351;6F40292E-1842-4EDF-8977-1E1B49D71B74
1653FF67-BA55-47D6-99E4-AA651A9D1AEB;5941;Sporting Goods Stores;0.275892;6F40292E-1842-4EDF-8977-1E1B49D71B74
7754708B-1752-4FAB-80E3-398053E8033C;5942;Book Stores;1.037296;6F40292E-1842-4EDF-8977-1E1B49D71B74
078F06E3-047D-43E5-ACE0-18940F2389A3;5944;Watch, Clock, Jewelry, and Silverware Stores;2.22132;6F40292E-1842-4EDF-8977-1E1B49D71B74
04418BD6-3DE5-4FD0-B61D-D85033EB78F2;5947;Card Shops, Gift, Novelty, and Souvenir Shops;0.167696;6F40292E-1842-4EDF-8977-1E1B49D71B74
A56C74CA-5E76-46B5-8D10-1C85A0691787;5976;Orthopedic Goods Prosthetic Devices;0.146734;6F40292E-1842-4EDF-8977-1E1B49D71B74
42319FCB-CBC7-4D4D-B7C7-A0C5964B9154;5977;Cosmetic Stores;0.20962;6F40292E-1842-4EDF-8977-1E1B49D71B74
5060FF1D-97B4-4CF9-9B0E-63C1CD4F2C09;5993;Cigar Stores and Stands;0.416537;6F40292E-1842-4EDF-8977-1E1B49D71B74
CBC8F1D3-A367-4F84-9C37-E916C0681F66;5994;News Dealers and Newsstands;1.19688;6F40292E-1842-4EDF-8977-1E1B49D71B74
AA80AD01-D653-4B62-9C16-7FBEBDCDA47B;5999;Miscellaneous and Specialty Retail Stores;0.10481;6F40292E-1842-4EDF-8977-1E1B49D71B74
E43D9729-185B-4C5D-BD40-A2AF687A978D;6010;Financial Institutions – Manual Cash Disbursements;0;6F40292E-1842-4EDF-8977-1E1B49D71B74
3BB864A3-08E0-4467-98E2-5E1DAE22E386;6011;Financial Institutions – Manual Cash Disbursements;0;6F40292E-1842-4EDF-8977-1E1B49D71B74
CD96876D-C65A-44EE-B96C-ABA862FBA5D9;6012;Financial Institutions – Merchandise and Services;0;6F40292E-1842-4EDF-8977-1E1B49D71B74
110DB874-77B6-4641-801B-97F442CAF803;7011;Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified);0.243432;6F40292E-1842-4EDF-8977-1E1B49D71B74
37A8BA32-EA0E-4C10-8598-695BECE452C0;7210;Laundry, Cleaning, and Garment Services;1.071103;6F40292E-1842-4EDF-8977-1E1B49D71B74
F7D036EE-5C35-4BB4-BD34-676FE15950DD;7392;Management, Consulting, and Public Relations Services;0.13794;A11C6C45-A604-4EAF-802B-C637FB356C03
2F0E807E-9E3C-44C9-AAA7-9C40DA681466;7394;Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental;0.186636;A11C6C45-A604-4EAF-802B-C637FB356C03
C6745567-4715-4ECB-8C97-1CBA754F9214;7832;Motion Picture Theaters;0.178519;A11C6C45-A604-4EAF-802B-C637FB356C03
7A1B0856-064D-4A94-B2C6-B8B00A595A2B;7997;Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses;0.060858;A11C6C45-A604-4EAF-802B-C637FB356C03
025F82F8-0313-40AC-BCCB-9DFCEE0AF967;7999;Recreation Services (Not Elsewhere Classified);0.17649;A11C6C45-A604-4EAF-802B-C637FB356C03
A539BBF0-5F6A-4261-829B-F58EBDB6AF0B;8062;Hospitals;0.118335;AA6D30BD-3AE6-4591-B632-DE69D095DB4E
3776517D-B9AE-4FC0-8D7E-C355FF91B26B;8111;Legal Services and Attorneys;0.060858;AA6D30BD-3AE6-4591-B632-DE69D095DB4E
29C804C8-1DB9-4A31-BC7F-E79B7739F82E;8641;Civic, Fraternal, and Social Associations;0.27454;AA6D30BD-3AE6-4591-B632-DE69D095DB4E
47237038-4C92-4FAE-B9E5-A35E6B6C0CB1;8699;Membership Organizations ( Not Elsewhere Classified);0.121716;AA6D30BD-3AE6-4591-B632-DE69D095DB4E
94B0920B-AFDE-44B5-8574-9C7B551E999D;9311;Tax Payments;0.047334;5CC18944-FB4F-493C-94E7-D8F7A5E58810